Subcategory,Subcategory 2,Supplier,Organization,Sectors,Factor Id,Factor Name
Transportation,Railway Equipment,Siemens Mobility GmbH,Siemens Mobility GmbH,Railway Equipment Manufacturing,482112.0,Rail Transportation Services (Logistics/Railways)
Transportation,Aviation Equipment,Bombardier Aerospace,Bombardier Aerospace,Aviation Equipment Manufacturing,336120.0,Aerospace Products Manufacturing (Aircraft Engines/Parts)
Transportation,Cargo Containers,MOL Logistics Co. Ltd.,MOL Logistics Co. Ltd.,Transportation,488510.0,Freight Forwarding Services
Fleet Management Software,Transportation,Zebra Technologies Corporation,Zebra Technologies Corporation,Transportation,484121.0,Mixed Freight Trucking Services (Logistics/Trucking Services)
Education Supplies,Books,Pearson Education Limited,Pearson Education Limited,Book Publishing,511210.0,Software Publishers
Education Supplies,Laboratory Equipment,Fisher Scientific International LLC,Fisher Scientific International LLC,Laboratory Equipment Manufacturing,611310.0,Colleges/Universities Education Services
Education Supplies,Digital Learning Tools,Kahoot! AS,Kahoot! AS,Digital Learning Tools,511210.0,Software Publishers
Education Supplies,Furniture for Schools,Virco Manufacturing Corporation,Virco Manufacturing Corporation,School Furniture Manufacturing,337121.0,Upholstered Household Furniture Manufacturing (Furniture)
Entertainment Services,Gaming Consoles,Sony Interactive Entertainment LLC,Sony Interactive Entertainment LLC,Gaming Console Manufacturing,339910.0,Toy/Game/Children's Vehicle Manufacturing (Recreational Goods)
Videogames,Videogame Production,Nintendo Co. Ltd.,Nintendo Co. Ltd.,Entertainment Services,511210.0,Software Publishers
Entertainment Services,Movie Production Equipment,Walt Disney Studios Motion Pictures LLC,Walt Disney Studios Motion Pictures LLC,Entertainment Services,512110.0,Motion Picture Production
Entertainment Services,Musical Instruments,Yamaha Corporation Music Division,Yamaha Corporation Music Division,Musical Instrument Manufacturing,711211.0,Sports Teams/Clubs Operations Entertainment/Recreation
Hospitality Services,Luxury Hotels,Ritz-Carlton Hotel Company LLC,Ritz-Carlton Hotel Company LLC,Luxury Hotel Services,721110.0,Lodging Facilities Hotels/Motels Operations Recreation/Tourism
Hospitality Services,Budget Hotels,OYO Rooms Private Limited,OYO Rooms Private Limited,Budget Hotel Services,721110.0,Lodging Facilities Hotels/Motels Operations Recreation/Tourism
Catering Equipment,Hospitality Services,Hobart Food Equipment Group LLC,Hobart Food Equipment Group LLC,Catering Equipment Manufacturing,333120.0,Farm Machinery Manufacturing (Agriculture Equipment)
Tourism Packages,Hospitality Services,TUI Group Travel Division,TUI Group Travel Division,Tourism Package Services,721110.0,Lodging Facilities Hotels/Motels Operations Recreation/Tourism
Retail,E-commerce Platforms,Amazon.com Inc. Retail Division,Amazon.com Inc. Retail Division,Retail,452210.0,Warehouse Clubs/Superstores Retailing (General Merchandise Sales)
Retail,Grocery Chains,Walmart Inc. Grocery Operations Unit,Walmart Inc. Grocery Operations Unit,Grocery Retail,452210.0,Warehouse Clubs/Superstores Retailing (General Merchandise Sales)
Retail,Fashion Retailers,Zalando SE Fashion Marketplace Division,Zalando SE Fashion Marketplace Division,Fashion Retail,452210.0,Warehouse Clubs/Superstores Retailing (General Merchandise Sales)
Luxury Goods Retail,Jewelry Retail,Tiffany & Co. Jewelry Operations Unit,Tiffany & Co. Jewelry Operations Unit,Retail,453930.0,Flea Markets Retailing (Miscellaneous Merchandise Sales)
Telecommunications Network Equipment,Nokia Corporation Telecommunications Division,nan,Nokia Corporation Telecommunications Division,Telecommunications,334220.0,Radiotelephone Communications Equipment Manufacturing (Electronics)
Telecommunications Mobile Phones,Huawei Technologies Co. Ltd.,nan,Huawei Technologies Co. Ltd.,Mobile Phone Manufacturing,334220.0,Radiotelephone Communications Equipment Manufacturing (Electronics)
Telecommunications,Satellite Communication Systems,nan,Viasat Inc. Satellite Communications Unit,Telecommunications,517410.0,Satellite Telecommunications
Telecommunications,Internet Service Providers,nan,Vodafone Group PLC Internet Operations Unit,Telecommunications,334220.0,Radiotelephone Communications Equipment Manufacturing (Electronics)
Sports Equipment Outdoor Gear,Sportswear and Equipment,nan,Puma SE Sportswear and Equipment Division,Sportswear Manufacturing,451110.0,Sporting Goods Stores Retailing (Recreational Goods Sales)
Sports Equipment,Indoor Fitness Equipment,nan,Peloton Interactive Inc. Fitness Division,Fitness Equipment Manufacturing,451110.0,Sporting Goods Stores Retailing (Recreational Goods Sales)
Sports Equipment,Adventure Gear,nan,Mammut Sports Group AG Adventure Gear Division,Adventure Gear Manufacturing,451110.0,Sporting Goods Stores Retailing (Recreational Goods Sales)
Sports Equipment,Team Sports Gear,nan,Umbro International Team Sports Division,Sports Equipment,451110.0,Sporting Goods Stores Retailing (Recreational Goods Sales)
Pharmaceuticals,Antibiotics,Merck & Co.,Merck & Co.,Pharmaceutical Manufacturing,621111.0,Hospitals General Medical/Surgical Care
Pharmaceuticals,Antivirals,Gilead Sciences,Gilead Sciences,Pharmaceutical Manufacturing,325180.0,Fertilizer Manufacturing (Agricultural Chemicals)
Pharmaceuticals,Antifungals,Pfizer Inc.,Pfizer Inc.,Pharmaceuticals,325120.0,Industrial Gas Manufacturing (Chemicals)
Pharmaceuticals,Antiparasitics,Sanofi,Sanofi,Pharmaceutical Manufacturing,325180.0,Fertilizer Manufacturing (Agricultural Chemicals)
Pharmaceuticals,Antineoplastics,Roche,Roche,Pharmaceutical Manufacturing,325120.0,Industrial Gas Manufacturing (Chemicals)
Pharmaceuticals,Anticoagulants,Bristol-Myers Squibb,Bristol-Myers Squibb,Pharmaceutical Manufacturing,325120.0,Industrial Gas Manufacturing (Chemicals)
Pharmaceuticals,Antidepressants,Eli Lilly and Company,Eli Lilly and Company,Pharmaceutical Manufacturing,325120.0,Industrial Gas Manufacturing (Chemicals)
Pharmaceuticals,Antipsychotics,AstraZeneca,AstraZeneca,Pharmaceutical Manufacturing,325120.0,Industrial Gas Manufacturing (Chemicals)
Pharmaceuticals,Antidiabetics,Novo Nordisk,Novo Nordisk,Pharmaceutical Manufacturing,621111.0,Hospitals General Medical/Surgical Care
Pharmaceuticals,Antihypertensives,Novartis,Novartis,Pharmaceutical Manufacturing,325180.0,Fertilizer Manufacturing (Agricultural Chemicals)
